Gene stable ID	Transcript stable ID	Gene name	KEGG Pathway and Enzyme ID	NCBI gene ID
ENSMUSG00000064341	ENSMUST00000082392	mt-Nd1		17716
ENSMUSG00000064345	ENSMUST00000082396	mt-Nd2	00190+7.1.1.2	17717
ENSMUSG00000064351	ENSMUST00000082402	mt-Co1	00190+1.9.3.1	17708
ENSMUSG00000064354	ENSMUST00000082405	mt-Co2		17709
ENSMUSG00000064356	ENSMUST00000082407	mt-Atp8		17706
ENSMUSG00000064357	ENSMUST00000082408	mt-Atp6		17705
ENSMUSG00000064358	ENSMUST00000082409	mt-Co3		17710
ENSMUSG00000064360	ENSMUST00000082411	mt-Nd3		17718
ENSMUSG00000065947	ENSMUST00000084013	mt-Nd4l		17720
ENSMUSG00000064363	ENSMUST00000082414	mt-Nd4	00190+7.1.1.2	17719
ENSMUSG00000064367	ENSMUST00000082418	mt-Nd5	00190+7.1.1.2	17721
ENSMUSG00000064368	ENSMUST00000082419	mt-Nd6		17722
ENSMUSG00000064370	ENSMUST00000082421	mt-Cytb		17711
ENSMUSG00000079497	ENSMUST00000129574	Gm13420		433415
ENSMUSG00000095806	ENSMUST00000105209	Vmn1r244		435949
ENSMUSG00000054497	ENSMUST00000067597	Tas2r130		
ENSMUSG00000024276	ENSMUST00000225682	Zfp397		69256
ENSMUSG00000095797	ENSMUST00000180788	Gm8246		666706
ENSMUSG00000095797	ENSMUST00000179411	Gm8246		666706
ENSMUSG00000100249	ENSMUST00000189190	Btbd35f23		100861966
ENSMUSG00000059991	ENSMUST00000071782	Nptx2		53324
ENSMUSG00000024276	ENSMUST00000060762	Zfp397		69256
ENSMUSG00000053389	ENSMUST00000065781	Tas2r107		387342
ENSMUSG00000109649	ENSMUST00000211339	Gm45521		
ENSMUSG00000111259	ENSMUST00000215312	Olfr1328		
ENSMUSG00000096426	ENSMUST00000178080	Btbd35f24		
ENSMUSG00000111259	ENSMUST00000081960	Olfr1328		
ENSMUSG00000025370	ENSMUST00000228307	Cdh9		12565
ENSMUSG00000051034	ENSMUST00000049778	Zfp11		22648
