Gene stable ID	Transcript stable ID	NCBI gene (formerly Entrezgene) ID	Gene name
ENSCAFG00000002484	ENSCAFT00000026823		
ENSCAFG00000002485	ENSCAFT00000003921	100856573	
ENSCAFG00000002486	ENSCAFT00000003922	482434	
ENSCAFG00000002488	ENSCAFT00000003923	482435	
ENSCAFG00000002491	ENSCAFT00000003927		
ENSCAFG00000002500	ENSCAFT00000003950	482437	SLC2A1
ENSCAFG00000002505	ENSCAFT00000003952	482438	ZNF691
ENSCAFG00000002509	ENSCAFT00000003962	482439	ERMAP
ENSCAFG00000002512	ENSCAFT00000003965	100683368	SVBP
ENSCAFG00000002514	ENSCAFT00000003967	482440	TMEM269
ENSCAFG00000002516	ENSCAFT00000003968	482441	C15H1orf50
ENSCAFG00000002516	ENSCAFT00000062652	482441	C15H1orf50
ENSCAFG00000002526	ENSCAFT00000003998	606980	P3H1
ENSCAFG00000002540	ENSCAFT00000004009	607005	CLDN19
ENSCAFG00000002540	ENSCAFT00000081105	607005	CLDN19
ENSCAFG00000002541	ENSCAFT00000004010	607025	YBX1
ENSCAFG00000002544	ENSCAFT00000004012	606899	PPIH
ENSCAFG00000002544	ENSCAFT00000093306	606899	PPIH
ENSCAFG00000002549	ENSCAFT00000051401	475308	CCDC30
ENSCAFG00000002549	ENSCAFT00000057939	475308	CCDC30
ENSCAFG00000002549	ENSCAFT00000004023	475308	CCDC30
ENSCAFG00000002549	ENSCAFT00000092885	475308	CCDC30
ENSCAFG00000002549	ENSCAFT00000004024	475308	CCDC30
ENSCAFG00000002549	ENSCAFT00000085952	475308	CCDC30
ENSCAFG00000002553	ENSCAFT00000004026	475309	PPCS
ENSCAFG00000002556	ENSCAFT00000004030	482444	ZMYND12
ENSCAFG00000002556	ENSCAFT00000046854	482444	ZMYND12
ENSCAFG00000002557	ENSCAFT00000004034	482445	RIMKLA
ENSCAFG00000002557	ENSCAFT00000036945	482445	RIMKLA
ENSCAFG00000002563	ENSCAFT00000081658	475310	FOXJ3
ENSCAFG00000002563	ENSCAFT00000061265	475310	FOXJ3
ENSCAFG00000002563	ENSCAFT00000083973	475310	FOXJ3
ENSCAFG00000002563	ENSCAFT00000004039	475310	FOXJ3
ENSCAFG00000045035	ENSCAFT00000087990		
ENSCAFG00000002568	ENSCAFT00000004045	482446	GUCA2A
ENSCAFG00000002574	ENSCAFT00000004053	100684829	GUCA2B
ENSCAFG00000002574	ENSCAFT00000059797	100684829	GUCA2B
ENSCAFG00000044963	ENSCAFT00000070178		
ENSCAFG00000047586	ENSCAFT00000067787		cfa-mir-8839
