Gene stable ID	Gene name	Transcript stable ID	NCBI gene (formerly Entrezgene) ID
ENSRNOG00000031780	AY172581.13	ENSRNOT00000041720	
ENSRNOG00000030478	AY172581.9	ENSRNOT00000040038	
ENSRNOG00000029171	AY172581.3	ENSRNOT00000045072	
ENSRNOG00000043866	AY172581.24	ENSRNOT00000069133	
ENSRNOG00000032112	AY172581.14	ENSRNOT00000049156	
ENSRNOG00000030644	Mt-nd1	ENSRNOT00000047550	26193
ENSRNOG00000029301	AY172581.4	ENSRNOT00000051008	
ENSRNOG00000033545	AY172581.21	ENSRNOT00000049396	
ENSRNOG00000032274	AY172581.15	ENSRNOT00000042644	
ENSRNOG00000031033	Mt-nd2	ENSRNOT00000040993	26194
ENSRNOG00000029677	AY172581.6	ENSRNOT00000046073	
ENSRNOG00000033932	AY172581.22	ENSRNOT00000044320	
ENSRNOG00000032609	AY172581.18	ENSRNOT00000048525	
ENSRNOG00000031333	AY172581.10	ENSRNOT00000045310	
ENSRNOG00000029954	AY172581.7	ENSRNOT00000051860	
ENSRNOG00000034234	Mt-co1	ENSRNOT00000050156	26195
ENSRNOG00000032882	AY172581.19	ENSRNOT00000040283	
ENSRNOG00000031685	AY172581.12	ENSRNOT00000051129	
ENSRNOG00000030371	Mt-co2	ENSRNOT00000043693	26198
ENSRNOG00000029070	AY172581.1	ENSRNOT00000041978	
ENSRNOG00000033299	Mt-atp8	ENSRNOT00000046201	26196
ENSRNOG00000031979	Mt-atp6	ENSRNOT00000046108	26197
ENSRNOG00000030700	Mt-co3	ENSRNOT00000049683	26204
ENSRNOG00000029389	AY172581.5	ENSRNOT00000048050	
ENSRNOG00000033615	Mt-nd3	ENSRNOT00000041241	26199
ENSRNOG00000032320	AY172581.16	ENSRNOT00000052103	
ENSRNOG00000031053	Mt-nd4l	ENSRNOT00000044582	26200
ENSRNOG00000029707	Mt-nd4	ENSRNOT00000042928	26201
ENSRNOG00000033957	AY172581.23	ENSRNOT00000047162	
ENSRNOG00000032578	AY172581.17	ENSRNOT00000045499	
ENSRNOG00000031667	AY172581.11	ENSRNOT00000050396	
ENSRNOG00000029971	Mt-nd5	ENSRNOT00000048767	26202
ENSRNOG00000029042	Mt-nd6	ENSRNOT00000051268	26203
ENSRNOG00000032997	AY172581.20	ENSRNOT00000049806	
ENSRNOG00000031766	Mt-cyb	ENSRNOT00000042098	26192
ENSRNOG00000030339	AY172581.8	ENSRNOT00000040611	
ENSRNOG00000029145	AY172581.2	ENSRNOT00000044639	
ENSRNOG00000062274	AABR07051205.1	ENSRNOT00000093618	
ENSRNOG00000018791	Dnlz	ENSRNOT00000025386	296587
ENSRNOG00000018791	Dnlz	ENSRNOT00000076156	296587
ENSRNOG00000018791	Dnlz	ENSRNOT00000076487	296587
ENSRNOG00000057228	Ccdc92b	ENSRNOT00000077649	360567
ENSRNOG00000057228	Ccdc92b	ENSRNOT00000092490	360567
ENSRNOG00000057228	Ccdc92b	ENSRNOT00000092290	360567
ENSRNOG00000053425	AABR07060101.1	ENSRNOT00000089519	
ENSRNOG00000042213	Zscan25	ENSRNOT00000039687	363872
ENSRNOG00000042213	Zscan25	ENSRNOT00000076796	363872
ENSRNOG00000042213	Zscan25	ENSRNOT00000075888	363872
ENSRNOG00000042213	Zscan25	ENSRNOT00000076827	363872
ENSRNOG00000018876	Entr1	ENSRNOT00000089705	306322
ENSRNOG00000018876	Entr1	ENSRNOT00000088578	306322
ENSRNOG00000018876	Entr1	ENSRNOT00000061669	306322
ENSRNOG00000000479	Kifc1	ENSRNOT00000092584	294286
ENSRNOG00000000479	Kifc1	ENSRNOT00000065349	294286
ENSRNOG00000038085	Rpe	ENSRNOT00000079912	501157
ENSRNOG00000038085	Rpe	ENSRNOT00000079495	501157
ENSRNOG00000038085	Rpe	ENSRNOT00000017197	501157
ENSRNOG00000056767	AC136588.3	ENSRNOT00000079671	
ENSRNOG00000056767	AC136588.3	ENSRNOT00000090532	
ENSRNOG00000056767	AC136588.3	ENSRNOT00000086783	
ENSRNOG00000056767	AC136588.3	ENSRNOT00000088403	
ENSRNOG00000056767	AC136588.3	ENSRNOT00000083756	
ENSRNOG00000056767	AC136588.3	ENSRNOT00000090046	
ENSRNOG00000062223	AABR07030499.1	ENSRNOT00000093440	
ENSRNOG00000002753	Adam11	ENSRNOT00000064429	360638
ENSRNOG00000002753	Adam11	ENSRNOT00000093454	360638
ENSRNOG00000002753	Adam11	ENSRNOT00000093169	360638
ENSRNOG00000002753	Adam11	ENSRNOT00000093604	360638
ENSRNOG00000039588	Mcidas	ENSRNOT00000076278	688802
ENSRNOG00000042111	Sult1c2a	ENSRNOT00000061861	316153
ENSRNOG00000046660	Gpc6	ENSRNOT00000076400	691984
ENSRNOG00000047369	LOC100910057	ENSRNOT00000061864	100910057
ENSRNOG00000047369	LOC100910057	ENSRNOT00000085330	100910057
ENSRNOG00000047369	LOC100910057	ENSRNOT00000089450	100910057
ENSRNOG00000047369	LOC100910057	ENSRNOT00000084331	100910057
ENSRNOG00000054910	AC096317.3	ENSRNOT00000079974	
ENSRNOG00000037421	Zfp951	ENSRNOT00000048419	
ENSRNOG00000037421	Zfp951	ENSRNOT00000093262	
ENSRNOG00000037421	Zfp951	ENSRNOT00000093293	
ENSRNOG00000017053	Fbxo36	ENSRNOT00000093695	363268
ENSRNOG00000017053	Fbxo36	ENSRNOT00000022901	363268
